text_name,text
LO1,Define disinfection byproducts
LO2,Describe the environmental and water treatment processes that influence the formation of disinfection byproducts
LO3,"Understand the trade-offs between disinfection and byproduct formation that can occur when chlorinating water, and treatment techniques that can be used to manage these tradeoffs (e.g., coagulation, activated carbon filters)"
LO4,Use environmental data visualizations to identify when additional treatment techniques to avoid disinfection byproduct formation could be used to meet water quality objectives
act_A,Explore how disinfection byproducts can be formed due to chlorination during the drinking water treatment process
dbp_definition,"Disinfection byproducts (DBPs) are compounds that are unintentionally created during the drinking water treatment process. Many of them are known to be carcinogens, or capable of causing cancer. There are dozens of DBPs; two common classes of DBPs are trihalomethanes (THMs) and and haloacetic acids (HAAs)."
dbp_formation,Disinfection byproducts form when organic matter or inorganic compounds in drinking water sources react with chlorine during the disinfection process. Organic matter is derived from living organisms and contains carbon. The organic and inorganic compounds in raw (untreated) water that lead to DBP formation during treatment can either be naturally-occurring or introduced by humans.
environmental_data,"Some forms of organic matter can be measured using water quality sensors deployed in a drinking water reservoir. For example, fluorescent dissolved organic matter (fDOM) sensors measure organic matter and can indicate the presence of DBP precursors in the water. Many fDOM and other environmental sensors can provide data to managers in real-time or near real-time, which can help inform what additional measures may need to be taken during the treatment process as water quality conditions change to avoid DBP formation."
workflow1,1. Watch the introductory presentation provided in Canvas and embedded in the interactive R Shiny web application if you have not already done so.
workflow2,"2. Watch the ""Guide to Module"" video embedded in the interactive R Shiny web application to learn about key features of the module that will help you complete module activities and answer questions. Optionally, you can also go through the ""Quick-start"" guide to the module using the button at the top right corner of the module web page."
workflow3,3. Select a focal reservoir.
workflow4,"4. Open the Canvas quiz questions associated with the reservoir you have chosen OR if you are not using Canvas, download a copy of all the questions as a Word document by clicking the ""Download student handout"" button. "
workflow5,"5. Work through the module to complete the Introduction questions and Activities A, B, and C in this web app. When you are prompted to answer questions, enter your answers in the Canvas quiz. Be sure to fill in the Canvas quiz that corresponds to the reservoir site you have chosen! If you are not completing the module using Canvas, you may type your answers into the Word document."
workflow6,"6. If you would like to take a break and come back later, or if you lose internet connection, all you have to do is re-load this web app, re-select your reservoir site in the Introduction, and you will be able to resume your progress. On Canvas, you can save your quiz responses using the ""Save"" button. In Word, you can save your answers in the document on your computer."
workflow7,"7. When you have finished the module activities, be sure to submit your Canvas quiz for grading. If you are completing the module by answering the questions in a Word document, be sure to submit the document to your instructor for grading."
act_B,Use high-frequency water quality data to explore how water quality changes over the course of a year and make decisions about water withdrawal depth 
act_C,Make water treatment decisions using high-frequency water quality data 
acknowledgement,"This module was initially developed by: Lofton, M.E., Cooke, R.L., and C.C. Carey. 20 September 2025. Macrosystems EDDIE: Exploring Tradeoffs in Water Quality Management Using Environmental Data. Macrosystems EDDIE Module 10, Version 1. https://serc.carleton.edu/eddie/teaching_materials/modules/module10.html. Module development was supported by NSF EF-2318861 and NSF RISE-2438447."
site_photo,"When you select a site in the table, you will see a photo of your chosen Virginia Reservoirs LTREB drinking water reservoir."
fcre,"Falling Creek Reservoir (fcre) is a small drinking water supply reservoir located near Roanoke, VA. It is owned and operated by the Western Virginia Water Authority as a drinking water supply for Vinton, VA. Falling Creek Reservoir has a surface area of 1,306,427 square feet and a maximum depth of 30.5 feet. From 2013-2023, the mean total phosphorus concentration at the reservoir's surface was 21.7 ug/L. From 2018-2022, the mean surface pH was 7.8. All data presented here were collected by the Virginia Reservoirs LTREB monitoring program."
bvre,"Beaverdam Reservoir (bvre) is a small drinking water supply reservoir located near Roanoke, VA. It is owned and operated by the Western Virginia Water Authority as a drinking water supply for Vinton, VA. Beaverdam Reservoir has a surface area of 4,240,658 square feet and a maximum depth of 46 feet. From 2013-2023, the mean total phosphorus concentration at the reservoir's surface was 16.2 ug/L. From 2018-2022, the mean surface pH was 7.9. All data presented here were collected by the Virginia Reservoirs LTREB monitoring program."
