"site_id","datetime","depth_m","variable","observation"
"bvre",2020-06-18,1,"Temp_C_mean",19.9966280555556
"bvre",2020-06-18,2,"Temp_C_mean",19.8711063888889
"bvre",2020-06-18,3,"Temp_C_mean",19.8677683333333
"bvre",2020-06-18,4,"Temp_C_mean",19.2186630555556
"bvre",2020-06-18,5,"Temp_C_mean",17.0669519444444
"bvre",2020-06-18,6,"Temp_C_mean",15.9603361111111
"bvre",2020-06-18,7,"Temp_C_mean",14.6859980555556
"bvre",2020-06-18,8,"Temp_C_mean",13.4805311111111
"bvre",2020-06-18,9,"Temp_C_mean",12.5552338888889
"bvre",2020-06-18,10,"Temp_C_mean",11.4667744444444
"bvre",2020-06-18,11,"Temp_C_mean",NA
"bvre",2020-06-18,12,"Temp_C_mean",NA
"bvre",2020-06-18,13,"Temp_C_mean",NA
"bvre",2020-06-18,6,"DO_mgL_mean",8.52534736111111
"bvre",2020-06-18,13,"DO_mgL_mean",0.154823583333333
"bvre",2020-06-18,1.5,"DO_mgL_mean",NA
"bvre",2020-06-18,1.5,"Chla_ugL_mean",NA
"bvre",2020-06-18,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-06-18,1.5,"fDOM_QSU_mean",NA
"bvre",2020-06-19,1,"Temp_C_mean",20.1408763194444
"bvre",2020-06-19,2,"Temp_C_mean",20.0097878472222
"bvre",2020-06-19,3,"Temp_C_mean",19.9925204861111
"bvre",2020-06-19,4,"Temp_C_mean",18.9305798611111
"bvre",2020-06-19,5,"Temp_C_mean",17.3410023611111
"bvre",2020-06-19,6,"Temp_C_mean",16.0606106944444
"bvre",2020-06-19,7,"Temp_C_mean",14.5850061111111
"bvre",2020-06-19,8,"Temp_C_mean",13.4103236805556
"bvre",2020-06-19,9,"Temp_C_mean",12.5332496527778
"bvre",2020-06-19,10,"Temp_C_mean",11.4317186805556
"bvre",2020-06-19,11,"Temp_C_mean",NA
"bvre",2020-06-19,12,"Temp_C_mean",NA
"bvre",2020-06-19,13,"Temp_C_mean",NA
"bvre",2020-06-19,6,"DO_mgL_mean",8.36214046527778
"bvre",2020-06-19,13,"DO_mgL_mean",0.0722787986111111
"bvre",2020-06-19,1.5,"DO_mgL_mean",NA
"bvre",2020-06-19,1.5,"Chla_ugL_mean",NA
"bvre",2020-06-19,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-06-19,1.5,"fDOM_QSU_mean",NA
"bvre",2020-06-20,1,"Temp_C_mean",21.1963019444444
"bvre",2020-06-20,2,"Temp_C_mean",20.973519375
"bvre",2020-06-20,3,"Temp_C_mean",20.8748024305556
"bvre",2020-06-20,4,"Temp_C_mean",19.2189415277778
"bvre",2020-06-20,5,"Temp_C_mean",17.5940684027778
"bvre",2020-06-20,6,"Temp_C_mean",16.0780925
"bvre",2020-06-20,7,"Temp_C_mean",14.5501740277778
"bvre",2020-06-20,8,"Temp_C_mean",13.4523277777778
"bvre",2020-06-20,9,"Temp_C_mean",12.5479922916667
"bvre",2020-06-20,10,"Temp_C_mean",11.4296083333333
"bvre",2020-06-20,11,"Temp_C_mean",NA
"bvre",2020-06-20,12,"Temp_C_mean",NA
"bvre",2020-06-20,13,"Temp_C_mean",NA
"bvre",2020-06-20,6,"DO_mgL_mean",7.95823867361111
"bvre",2020-06-20,13,"DO_mgL_mean",0.0122332083333333
"bvre",2020-06-20,1.5,"DO_mgL_mean",NA
"bvre",2020-06-20,1.5,"Chla_ugL_mean",NA
"bvre",2020-06-20,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-06-20,1.5,"fDOM_QSU_mean",NA
"bvre",2020-06-21,1,"Temp_C_mean",21.5841282638889
"bvre",2020-06-21,2,"Temp_C_mean",21.2688179166667
"bvre",2020-06-21,3,"Temp_C_mean",21.1074232638889
"bvre",2020-06-21,4,"Temp_C_mean",19.2799215277778
"bvre",2020-06-21,5,"Temp_C_mean",17.6536145833333
"bvre",2020-06-21,6,"Temp_C_mean",16.2345377777778
"bvre",2020-06-21,7,"Temp_C_mean",14.6647671527778
"bvre",2020-06-21,8,"Temp_C_mean",13.4024781944444
"bvre",2020-06-21,9,"Temp_C_mean",12.5082390972222
"bvre",2020-06-21,10,"Temp_C_mean",11.4338306944444
"bvre",2020-06-21,11,"Temp_C_mean",NA
"bvre",2020-06-21,12,"Temp_C_mean",NA
"bvre",2020-06-21,13,"Temp_C_mean",NA
"bvre",2020-06-21,6,"DO_mgL_mean",7.38351430555556
"bvre",2020-06-21,13,"DO_mgL_mean",0.00139670138888889
"bvre",2020-06-21,1.5,"DO_mgL_mean",NA
"bvre",2020-06-21,1.5,"Chla_ugL_mean",NA
"bvre",2020-06-21,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-06-21,1.5,"fDOM_QSU_mean",NA
"bvre",2020-06-22,1,"Temp_C_mean",22.4671732638889
"bvre",2020-06-22,2,"Temp_C_mean",22.0235215277778
"bvre",2020-06-22,3,"Temp_C_mean",21.7664004861111
"bvre",2020-06-22,4,"Temp_C_mean",19.6199999305556
"bvre",2020-06-22,5,"Temp_C_mean",17.824669375
"bvre",2020-06-22,6,"Temp_C_mean",16.2119859722222
"bvre",2020-06-22,7,"Temp_C_mean",14.6422464583333
"bvre",2020-06-22,8,"Temp_C_mean",13.4335627083333
"bvre",2020-06-22,9,"Temp_C_mean",12.478063125
"bvre",2020-06-22,10,"Temp_C_mean",11.4295925694444
"bvre",2020-06-22,11,"Temp_C_mean",NA
"bvre",2020-06-22,12,"Temp_C_mean",NA
"bvre",2020-06-22,13,"Temp_C_mean",NA
"bvre",2020-06-22,6,"DO_mgL_mean",6.98066632638889
"bvre",2020-06-22,13,"DO_mgL_mean",0
"bvre",2020-06-22,1.5,"DO_mgL_mean",NA
"bvre",2020-06-22,1.5,"Chla_ugL_mean",NA
"bvre",2020-06-22,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-06-22,1.5,"fDOM_QSU_mean",NA
"bvre",2020-06-23,1,"Temp_C_mean",23.3168244444444
"bvre",2020-06-23,2,"Temp_C_mean",22.8419149305556
"bvre",2020-06-23,3,"Temp_C_mean",22.5053095833333
"bvre",2020-06-23,4,"Temp_C_mean",19.7503000694444
"bvre",2020-06-23,5,"Temp_C_mean",17.9841414583333
"bvre",2020-06-23,6,"Temp_C_mean",16.3736489583333
"bvre",2020-06-23,7,"Temp_C_mean",14.6674808333333
"bvre",2020-06-23,8,"Temp_C_mean",13.4471171527778
"bvre",2020-06-23,9,"Temp_C_mean",12.5103317361111
"bvre",2020-06-23,10,"Temp_C_mean",11.418071875
"bvre",2020-06-23,11,"Temp_C_mean",NA
"bvre",2020-06-23,12,"Temp_C_mean",NA
"bvre",2020-06-23,13,"Temp_C_mean",NA
"bvre",2020-06-23,6,"DO_mgL_mean",6.99156576388889
"bvre",2020-06-23,13,"DO_mgL_mean",0
"bvre",2020-06-23,1.5,"DO_mgL_mean",NA
"bvre",2020-06-23,1.5,"Chla_ugL_mean",NA
"bvre",2020-06-23,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-06-23,1.5,"fDOM_QSU_mean",NA
"bvre",2020-06-24,1,"Temp_C_mean",24.0562425694444
"bvre",2020-06-24,2,"Temp_C_mean",23.7876252083333
"bvre",2020-06-24,3,"Temp_C_mean",23.6293150694444
"bvre",2020-06-24,4,"Temp_C_mean",20.1439295833333
"bvre",2020-06-24,5,"Temp_C_mean",18.13744875
"bvre",2020-06-24,6,"Temp_C_mean",16.380173125
"bvre",2020-06-24,7,"Temp_C_mean",14.6601350694444
"bvre",2020-06-24,8,"Temp_C_mean",13.4313942361111
"bvre",2020-06-24,9,"Temp_C_mean",12.4970058333333
"bvre",2020-06-24,10,"Temp_C_mean",11.4312786111111
"bvre",2020-06-24,11,"Temp_C_mean",NA
"bvre",2020-06-24,12,"Temp_C_mean",NA
"bvre",2020-06-24,13,"Temp_C_mean",NA
"bvre",2020-06-24,6,"DO_mgL_mean",6.87153910416667
"bvre",2020-06-24,13,"DO_mgL_mean",0
"bvre",2020-06-24,1.5,"DO_mgL_mean",NA
"bvre",2020-06-24,1.5,"Chla_ugL_mean",NA
"bvre",2020-06-24,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-06-24,1.5,"fDOM_QSU_mean",NA
"bvre",2020-06-25,1,"Temp_C_mean",24.7278474626866
"bvre",2020-06-25,2,"Temp_C_mean",24.3694604477612
"bvre",2020-06-25,3,"Temp_C_mean",24.0850482089552
"bvre",2020-06-25,4,"Temp_C_mean",20.4377046268657
"bvre",2020-06-25,5,"Temp_C_mean",18.2471414925373
"bvre",2020-06-25,6,"Temp_C_mean",16.5274532089552
"bvre",2020-06-25,7,"Temp_C_mean",14.7002520895522
"bvre",2020-06-25,8,"Temp_C_mean",13.4602035820896
"bvre",2020-06-25,9,"Temp_C_mean",12.4806844029851
"bvre",2020-06-25,10,"Temp_C_mean",11.3942548507463
"bvre",2020-06-25,11,"Temp_C_mean",NA
"bvre",2020-06-25,12,"Temp_C_mean",NA
"bvre",2020-06-25,13,"Temp_C_mean",NA
"bvre",2020-06-25,6,"DO_mgL_mean",6.7921568
"bvre",2020-06-25,13,"DO_mgL_mean",0.000600368
"bvre",2020-06-25,1.5,"DO_mgL_mean",11.83375
"bvre",2020-06-25,1.5,"Chla_ugL_mean",4.62135593220339
"bvre",2020-06-25,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-06-25,1.5,"fDOM_QSU_mean",14.8662711864407
"bvre",2020-06-26,1,"Temp_C_mean",24.6945265277778
"bvre",2020-06-26,2,"Temp_C_mean",24.3812465277778
"bvre",2020-06-26,3,"Temp_C_mean",24.082884375
"bvre",2020-06-26,4,"Temp_C_mean",20.7063644444444
"bvre",2020-06-26,5,"Temp_C_mean",18.4904784722222
"bvre",2020-06-26,6,"Temp_C_mean",16.6204814583333
"bvre",2020-06-26,7,"Temp_C_mean",14.7186716666667
"bvre",2020-06-26,8,"Temp_C_mean",13.4480934722222
"bvre",2020-06-26,9,"Temp_C_mean",12.4704131944444
"bvre",2020-06-26,10,"Temp_C_mean",11.4078829861111
"bvre",2020-06-26,11,"Temp_C_mean",NA
"bvre",2020-06-26,12,"Temp_C_mean",NA
"bvre",2020-06-26,13,"Temp_C_mean",NA
"bvre",2020-06-26,6,"DO_mgL_mean",6.78437622222222
"bvre",2020-06-26,13,"DO_mgL_mean",0
"bvre",2020-06-26,1.5,"DO_mgL_mean",11.9045138888889
"bvre",2020-06-26,1.5,"Chla_ugL_mean",4.66097222222222
"bvre",2020-06-26,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-06-26,1.5,"fDOM_QSU_mean",15.0040277777778
